T,N_steps,american_put,european_put,early_exercise_premium,perpetual_put,gap_to_perpetual,fraction_of_perpetual,lattice_noise_floor
0.25,2000,3.479602208691653,3.372777178991008,0.10682502970064522,12.320032867762636,8.840430659070982,0.2824344907225529,0.000260465263290488
0.5,2000,4.6553739004392405,4.41971978051388,0.23565411992536056,12.320032867762636,7.664658967323396,0.3778702500559703,0.0003111461765126222
1.0,2000,6.089989952552217,5.573526022256971,0.5164639302952461,12.320032867762636,6.2300429152104195,0.49431604752351455,0.00039466957460732033
2.0,4000,7.722944638891659,6.610521528574566,1.112423110317093,12.320032867762636,4.597088228870978,0.6268607171576625,0.0002645070484392775
5.0,10000,9.897372512800247,7.018698051026529,2.878674461773718,12.320032867762636,2.422660354962389,0.8033560152829079,0.00020194491374603274
10.0,20000,11.211215595059073,5.846039650252715,5.365175944806358,12.320032867762636,1.108817272703563,0.9099988381033493,0.0001788823627961733
25.0,40000,12.125882795501456,2.4870666691880237,9.638816126313433,12.320032867762636,0.19415007226118064,0.9842411076053859,4.435376533251656e-05
50.0,40000,12.29967667992787,0.5190730316627297,11.78060364826514,12.320032867762636,0.020356187834766004,0.9983477164344235,0.0005850026814080422
100.0,40000,12.318346501662498,0.0217514302271276,12.296595071435371,12.320032867762636,0.0016863661001380592,0.9998631199999027,0.00042693917898262157
200.0,40000,12.318306411987068,3.9786279849459756e-05,12.318266625707219,12.320032867762636,0.0017264557755680698,0.9998598659764873,0.001471116425497243
