method,price,deviation_from_bermudan,unit_variance,n_units,n_paths,variance_per_path,std_error,ci_low,ci_high,ci_width,runtime_s,variance_reduction_factor,work_normalised_gain,paths_for_naive_se,correlation,beta
naive,6.088680108941546,0.010058372262788495,51.37717707307746,200000,200000,51.37717707307746,0.016027660009040226,6.057266472567374,6.120093745315717,0.06282727274834352,0.5053004579999998,1.0,1.0,199999.99999999997,,
antithetic,6.08612752393638,0.0075057872576227425,9.122333457017202,100000,200000,18.244666914034404,0.009551090752902102,6.067407730047618,6.104847317825142,0.037439587777523334,0.46347670799999996,2.816010690420247,3.070125136908167,71022.4576491764,,
control,6.097553755968972,0.018932019290215152,22.725853225395838,200000,200000,22.725853225395838,0.01065970290988352,6.076661122179704,6.11844638975824,0.041785267578537025,0.5704363749999999,2.2607369925131855,2.002592204493367,88466.72596694528,0.7467707478237656,0.6197790581247316
antithetic_control,6.082548768913502,0.003927032234744665,8.63870248922921,100000,200000,17.27740497845842,0.0092944620550246,6.064331958029979,6.100765579797025,0.036433621767044705,0.5568741670000001,2.9736628351963073,2.698263416773419,67257.12062335975,0.7481780534158853,0.6197790581247316
