t,tau,S_star,S_star_raw,K_minus_S_star,dS
0.0,1.0,80.8756289264018,80.875,19.124371073598198,0.125
0.00031249999999993783,0.9996875000000001,80.87706414355449,80.875,19.12293585644551,0.125
0.0006249999999999867,0.999375,80.87852317927056,80.875,19.12147682072944,0.125
0.0009374999999999245,0.9990625000000001,80.88000667859774,80.875,19.119993321402262,0.125
0.0012499999999999734,0.99875,80.88151531401682,80.875,19.118484685983177,0.125
0.0015625000000000222,0.9984375,80.88304978725577,80.875,19.11695021274423,0.125
0.00187499999999996,0.998125,80.88461083131763,80.875,19.11538916868237,0.125
0.002187500000000009,0.9978125,80.88619921267419,80.875,19.113800787325815,0.125
0.0024999999999999467,0.9975,80.88781573368986,80.875,19.112184266310138,0.125
0.0028124999999999956,0.9971875,80.88946123534761,80.875,19.11053876465239,0.125
0.0031249999999999334,0.9968750000000001,80.89113660027228,80.875,19.108863399727724,0.125
0.0034374999999999822,0.9965625,80.89284275599857,80.875,19.107157244001428,0.125
0.003750000000000031,0.99625,80.89458067888992,80.875,19.105419321110077,0.125
0.004062499999999969,0.9959375,80.89635139810652,80.875,19.103648601893482,0.125
0.004375000000000018,0.995625,80.89815600076881,80.875,19.101843999231193,0.125
0.004687499999999956,0.9953125,80.89999563672757,80.875,19.100004363272433,0.125
0.0050000000000000044,0.995,80.90187152572857,80.875,19.098128474271434,0.125
0.005312499999999942,0.9946875000000001,80.90378496286505,80.875,19.096215037134954,0.125
0.005624999999999991,0.994375,80.90573732909738,80.875,19.094262670902623,0.125
0.005937499999999929,0.9940625000000001,80.90773009689508,80.875,19.09226990310492,0.125
0.006249999999999978,0.99375,80.90976484678261,80.875,19.090235153217392,0.125
0.006562500000000027,0.9934375,80.91184327132656,80.875,19.08815672867344,0.125
0.0068749999999999645,0.993125,80.91396720352861,80.875,19.086032796471386,0.125
0.007187500000000013,0.9928125,80.91613861381121,80.875,19.083861386188786,0.125
0.007499999999999951,0.9925,80.91835966318664,80.875,19.081640336813365,0.125
0.0078125,0.9921875,80.92063267914347,80.875,19.079367320856534,0.125
