n_paths,n_steps,method,degree,basis,n_seeds,mean_price,bias,sd_across_seeds,variance_across_seeds,rmse,mean_reported_se,mean_ci_width,mean_runtime_s,total_runtime_s,poly_minus_chebyshev
100000,50,antithetic_control,1,poly,4,5.987003908643898,-0.10336670399190151,0.008403341206468642,7.061614343233386e-05,0.10362257283875834,0.013101031742637758,0.05135510076382359,0.24964801000000136,0.9985920400000055,0.0
100000,50,antithetic_control,2,poly,4,6.066947874393187,-0.023422738242612873,0.004333767710687592,1.878154257019837e-05,0.023721526588936007,0.013160657345078255,0.051588828830558195,0.25580495775001566,1.0232198310000626,0.0
100000,50,antithetic_control,3,poly,4,6.077912980445081,-0.012457632190718826,0.00837652635898512,7.01661938427725e-05,0.014415867826160706,0.013116394001014928,0.05141531971011862,0.27127097874998185,1.0850839149999274,0.0
100000,50,antithetic_control,4,poly,4,6.080262327593388,-0.01010828504241168,0.010121517373397506,0.00010244511393998753,0.013379509032607487,0.013112108527307506,0.0513985209618682,0.28897360400000593,1.1558944160000237,0.0
100000,50,antithetic_control,6,poly,4,6.077675779433464,-0.01269483320233622,0.008836479125189315,7.808336332990653e-05,0.014822999444530867,0.013095408382162832,0.05133305759581253,0.334253531249999,1.337014124999996,3.369836468802845e-05
100000,50,antithetic_control,8,poly,4,6.078244650110322,-0.012125962525478151,0.009527990572192382,9.07826043437869e-05,0.014667171521023923,0.013104267770513166,0.0513677857600041,0.37800167724999767,1.5120067089999907,0.00020888236806815286
100000,50,antithetic_control,12,poly,4,6.077769579938485,-0.012601032697315162,0.011773246609208742,0.00013860933572124514,0.016209349981715655,0.013107227433872265,0.051379387427187215,0.47530156250002165,1.9012062500000866,0.002117974847488213
100000,50,antithetic_control,16,poly,4,6.076010963768437,-0.014359648867363184,0.010033352287943354,0.00010066815813397814,0.016783939769745612,0.013106735198282645,0.05137745789913163,0.5514124687500157,2.205649875000063,0.0020271018203770197
100000,50,antithetic_control,1,laguerre,4,6.048536318165229,-0.04183429447057119,0.01191000155793584,0.00014184813711003413,0.04308705486202224,0.013215100111603064,0.05180224055382297,0.2546769582500019,1.0187078330000077,0.0
100000,50,antithetic_control,2,laguerre,4,6.06358102794004,-0.026789584695760205,0.0053712375335934134,2.8850192642282656e-05,0.027190430166752294,0.013163490226604142,0.05159993352208721,0.2665637709999942,1.0662550839999767,0.0
100000,50,antithetic_control,3,laguerre,4,6.08077270337938,-0.00959790925641979,0.006895709450862089,4.7550808830708726e-05,0.011304112911568779,0.01312206773891524,0.0514375603540085,0.2861461880000036,1.1445847520000143,0.0
100000,50,antithetic_control,4,laguerre,4,6.080104605838847,-0.010266006796952887,0.01064111483643682,0.00011323332496223581,0.013795502501785293,0.013113667110713021,0.051404630496553055,0.3125995210000099,1.2503980840000395,0.0
100000,50,antithetic_control,6,laguerre,4,6.079800744101444,-0.01056986853435582,0.01028332010045629,0.00010574667228844835,0.013821437155733727,0.013101482879163174,0.05135686918650785,0.3575744585000109,1.4302978340000436,3.369836468802845e-05
100000,50,antithetic_control,8,laguerre,4,6.078455058114058,-0.011915554521741534,0.009014577565268878,8.126260868024898e-05,0.014245258722493851,0.013098681449480232,0.0513458877839377,0.4003887812499869,1.6015551249999476,0.00020888236806815286
100000,50,antithetic_control,12,laguerre,4,6.0801131406934505,-0.010257471942349383,0.008454211341815593,7.14736894120834e-05,0.012602420311477406,0.0130934896622115,0.05132553635180871,0.49772107275001076,1.990884291000043,0.002117974847488213
100000,50,antithetic_control,16,laguerre,4,6.07947852110508,-0.010892091530720016,0.011183025565697259,0.0001250600608030385,0.014575071303971612,0.013105710311379689,0.05137344041629465,0.5891012395000104,2.3564049580000415,0.0020271018203770197
100000,50,antithetic_control,1,chebyshev,4,5.987003908643898,-0.10336670399190151,0.008403341206468642,7.061614343233386e-05,0.10362257283875834,0.013101031742637758,0.05135510076382359,0.24789177100001325,0.991567084000053,0.0
100000,50,antithetic_control,2,chebyshev,4,6.066947874393187,-0.023422738242612873,0.004333767710687592,1.878154257019837e-05,0.023721526588936007,0.013160657345078255,0.051588828830558195,0.2612331457499977,1.0449325829999907,0.0
100000,50,antithetic_control,3,chebyshev,4,6.077912980445081,-0.012457632190718826,0.00837652635898512,7.01661938427725e-05,0.014415867826160706,0.013116394001014928,0.05141531971011862,0.27917903124999555,1.1167161249999822,0.0
100000,50,antithetic_control,4,chebyshev,4,6.080262327593388,-0.01010828504241168,0.010121517373397506,0.00010244511393998753,0.013379509032607487,0.013112108527307506,0.0513985209618682,0.3000006352500151,1.2000025410000603,0.0
100000,50,antithetic_control,6,chebyshev,4,6.077642081068776,-0.012728531567024248,0.008803569601910323,7.750283773567948e-05,0.014837204728468837,0.013095837197283532,0.051334738520198125,0.35208632299999465,1.4083452919999786,3.369836468802845e-05
100000,50,antithetic_control,8,chebyshev,4,6.078035767742254,-0.012334844893546304,0.009511065768929907,9.046037206091025e-05,0.014832183844381563,0.013101177936209428,0.05135567383209421,0.4085418957499769,1.6341675829999076,0.00020888236806815286
100000,50,antithetic_control,12,chebyshev,4,6.0756516050909966,-0.014719007544803375,0.009414774360472958,8.8637976258619e-05,0.016826397870546638,0.013105559035932036,0.05137284742743622,0.5167487502500023,2.0669950010000093,0.002117974847488213
100000,50,antithetic_control,16,chebyshev,4,6.07398386194806,-0.016386750687740204,0.009838567354944368,9.679740759777701e-05,0.018469533123511062,0.013103997338552609,0.05136672568619793,0.6077134792500232,2.4308539170000927,0.0020271018203770197
