n_paths,n_steps,method,degree,basis,n_seeds,mean_price,bias,sd_across_seeds,variance_across_seeds,rmse,mean_reported_se,mean_ci_width,mean_runtime_s,total_runtime_s,n_train,approx_peak_memory_gb
200000,200,antithetic_control,3,poly,4,6.075413012299956,-0.014957600335844035,0.005143099097274242,2.6451468324383124e-05,0.01560667834774937,0.00926557246072874,0.036320376646872314,1.506738062249994,6.026952248999976,100000,0.4824
200000,400,antithetic_control,3,poly,4,6.075811994999178,-0.014558617636621918,0.007919447954950413,6.271765591116828e-05,0.016093215633388544,0.009264737022946003,0.03631710179094057,2.521477916500004,10.085911666000015,50000,0.802
400000,200,antithetic_control,3,poly,4,6.0743651629891104,-0.016005449646689485,0.003953302809971351,1.562860310732738e-05,0.016367524880787812,0.006548587317995369,0.02566999059179733,1.8529280519999816,7.411712207999926,50000,0.7236
