sigma,S_star_0,S_star_0_over_K,S_star_just_before_T,S_star_at_T,perpetual_S_inf,predicted_terminal,price,runtime_s
0.1,92.75424091320137,0.9275424091320137,99.46812505826648,100.0,90.9090909090909,100.0,2.4366806768581903,1.6990747919999905
0.15,86.95607133590582,0.8695607133590582,99.11696222117368,100.0,81.63265306122449,100.0,4.232542023168714,1.7134928330000037
0.2,80.8756289264018,0.808756289264018,98.74145608240308,100.0,71.42857142857142,100.0,6.090305212194985,1.8036642920000077
0.3,69.12471768675528,0.6912471768675528,97.97162855460698,100.0,52.631578947368425,100.0,9.870003728187367,5.181978709000006
0.4,58.530945191573736,0.5853094519157374,97.16024906655213,100.0,38.46153846153846,100.0,13.66755361663771,13.838183833000002
0.6,41.476981631534656,0.41476981631534654,95.48386001252432,100.0,21.73913043478261,100.0,21.19503318583478,50.95974554200001
