method,n_rep,n_paths,mean_price,realised_sd,mean_reported_se,coverage_of_own_mean,coverage_of_bermudan,bias_vs_bermudan,naive_se_coverage_of_own_mean,mean_naive_se,mean_pair_correlation
naive,300,20000,6.072117164150789,0.05310992436271004,0.05078401000465742,0.95,0.95,-0.006504572527967767,,,
antithetic,300,20000,6.068837908160525,0.03200704909288898,0.030508161836953405,0.9433333333333334,0.91,-0.00978382851823234,0.9966666666666667,0.05078117887930734,-0.6390893848696243
control,300,20000,6.069715509946524,0.034972565979755385,0.033545204129220615,0.9333333333333333,0.9266666666666666,-0.008906226732233513,,,
antithetic_control,300,20000,6.068358976010273,0.030233684093179496,0.029376000691833846,0.94,0.9233333333333333,-0.01026276066848375,0.9666666666666667,0.033524050927873826,-0.23210276459392926
