q,S_star_0,S_star_0_over_K,S_star_just_before_T,S_star_at_T,perpetual_S_inf,predicted_terminal,price,runtime_s
0.0,80.8756289264018,0.808756289264018,98.74145608240308,100.0,71.42857142857142,100.0,6.090305212194985,1.7181013329999928
0.02,77.85227514770456,0.7785227514770456,98.61754143476878,100.0,64.92189406417879,100.0,6.660622610104834,1.7545706669999959
0.04,73.5930869280692,0.735930869280692,98.36083722644679,100.0,57.46094703208939,100.0,7.305800590510558,1.7774230839999632
0.05,70.65770896419149,0.7065770896419149,97.76885817123242,100.0,53.667504192892004,100.0,7.66256580516106,1.8128265000000283
0.06,66.83762091187535,0.6683762091187535,83.09714590779794,100.0,50.0,83.33333333333334,8.051140944399117,1.8087855830000308
0.1,44.70318709311085,0.44703187093110847,49.82987827899713,100.0,37.83009433971697,50.0,9.940886534662493,1.8519400410000344
0.15,30.227808971427283,0.30227808971427284,33.18605094614628,100.0,28.11780011249822,33.333333333333336,12.622468075960136,1.9028083750000064
