r,S_star_0,S_star_0_over_K,S_star_just_before_T,S_star_at_T,perpetual_S_inf,predicted_terminal,price,runtime_s
0.0,0.4959513848644066,0.004959513848644066,0.375,100.0,0.0,100.0,7.965528916722716,1.7749577909999914
0.01,69.72971998918037,0.6972971998918037,98.35232971859067,100.0,33.33333333333333,100.0,7.513373362086521,1.8706035419999978
0.02,74.23187090258118,0.7423187090258118,98.51175650016896,100.0,50.0,100.0,7.110745095048655,1.8489070830000003
0.05,80.8756289264018,0.808756289264018,98.74145608240308,100.0,71.42857142857142,100.0,6.090305212194985,1.774649457999999
0.08,84.54665774425875,0.8454665774425876,98.85923793015195,100.0,79.99999999999999,100.0,5.274280317264093,1.7665902500000072
0.12,87.70149390858201,0.8770149390858201,98.98607349662176,100.0,85.71428571428571,100.0,4.4141689168029155,1.7084062089999748
