method,n_paths,price,std_error,ci_width,runtime_s,fitted_se_slope
naive,5000,6.087589042573131,0.10224008293432864,0.4007737606553447,0.08395537500000216,-0.5012278144321337
naive,10000,6.020986470321932,0.07205309698284955,0.2824429501219135,0.08197100000001001,-0.5012278144321337
naive,20000,6.03909429415591,0.0509097008283867,0.19956236017469378,0.08924404200000424,-0.5012278144321337
naive,50000,6.039124482442088,0.03210265119618158,0.12584008030553517,0.1209518340000102,-0.5012278144321337
naive,100000,6.063527332204074,0.022698154891643427,0.08897513220626554,0.18233474999999544,-0.5012278144321337
naive,200000,6.088088604785593,0.016079426123464413,0.06303019218812549,0.2855208750000031,-0.5012278144321337
naive,400000,6.0850968189649155,0.011362173294884882,0.044538900888154334,0.5313739170000105,-0.5012278144321337
antithetic,5000,6.061901517248874,0.06265765065403364,0.24561347727559701,0.07659420799998884,-0.5062285450133851
antithetic,10000,6.043582450087928,0.04374133534330398,0.17146288381712954,0.080017416000004,-0.5062285450133851
antithetic,20000,6.086844133931575,0.030622953686923124,0.12003977265321476,0.08885887499999967,-0.5062285450133851
antithetic,50000,6.095570408470592,0.01922322256033732,0.07535364777011798,0.1094824999999986,-0.5062285450133851
antithetic,100000,6.08236466955512,0.013632831559611898,0.05343971772828067,0.14598854199999778,-0.5062285450133851
antithetic,200000,6.0796368336049165,0.009614899668686994,0.037689714131185215,0.22674808300000393,-0.5062285450133851
antithetic,400000,6.085520655787323,0.006798547188501256,0.026649815273317005,0.42093174999999405,-0.5062285450133851
control,5000,6.1604343446470615,0.06899145293603329,0.27044152599143084,0.10214183399999399,-0.5046519005225251
control,10000,6.093600958871318,0.04806169605046362,0.1883983865896393,0.1023772919999999,-0.5046519005225251
control,20000,6.0583455600499265,0.03368355192470245,0.13203709728760324,0.11006358299999874,-0.5046519005225251
control,50000,6.0599055163611215,0.02122893551551809,0.0832158980810774,0.13209050000000389,-0.5046519005225251
control,100000,6.073123671685647,0.015018642622863166,0.05887199727497996,0.18328420800000345,-0.5046519005225251
control,200000,6.089375580009212,0.01064181541261435,0.04171514987769476,0.2783334169999989,-0.5046519005225251
control,400000,6.093216045259463,0.007526744182354985,0.029504295036524297,0.46724924999999473,-0.5046519005225251
antithetic_control,5000,6.086441885980204,0.060712911492792336,0.23799023984488182,0.10983050000000105,-0.5050610589943202
antithetic_control,10000,6.112194687220898,0.04224110708310666,0.16558209709997765,0.10472891700000275,-0.5050610589943202
antithetic_control,20000,6.091585912671542,0.029616140684279153,0.11609313820451714,0.11038241600000731,-0.5050610589943202
antithetic_control,50000,6.084535800643643,0.01876545867331613,0.0735592463061488,0.13278491700000927,-0.5050610589943202
antithetic_control,100000,6.082178473151951,0.013275952123833786,0.05204077604638452,0.16749091600000554,-0.5050610589943202
antithetic_control,200000,6.082988564894271,0.009349401015204411,0.03664897853364573,0.2551086670000018,-0.5050610589943202
antithetic_control,400000,6.086207260662824,0.00659185768821282,0.025839607320221173,0.4653113329999883,-0.5050610589943202
