N,price,exact,abs_error,rel_error,runtime_s,observed_order,kind
25,5.643908074055226,5.573526022256971,0.07038205179825496,0.01262792198640424,0.000177874999999994,,put
50,5.533633990803775,5.573526022256971,0.03989203145319564,0.007157413689986069,6.666700000002024e-05,0.819106979783887,put
100,5.5535541123214145,5.573526022256971,0.019971909935556198,0.003583352774491699,0.00011450000000001737,0.9981282869050814,put
200,5.563533709930584,5.573526022256971,0.009992312326386532,0.0017928170222017187,0.00021445800000008397,0.9990818292785787,put
400,5.568528291358915,5.573526022256971,0.00499773089805533,0.0008966910494537396,0.00041833300000004847,0.9995453496360137,put
800,5.571026764952742,5.573526022256971,0.0024992573042288413,0.00044841583124371597,0.000915749999999993,0.9997737840447103,put
1600,5.572276295877302,5.573526022256971,0.001249726379668914,0.00022422544986393437,0.0021056669999999222,0.9998871780467323,put
3200,5.5729011346713895,5.573526022256971,0.000624887585581213,0.00011211710200792568,0.005009667000000051,0.9999436757735054,put
6400,5.573213572363767,5.573526022256971,0.0003124498932036701,5.605964553784305e-05,0.017301416999999986,0.9999718318943791,put
12800,5.573369795804918,5.573526022256971,0.00015622645205226604,2.8030092876287127e-05,0.058162500000000006,0.9999860976402701,put
25,10.520965623983987,10.450583572185565,0.07038205179842194,0.006734748477180276,3.587500000001853e-05,,call
50,10.41069154073273,10.450583572185565,0.03989203145283504,0.0038172061088539086,5.5083999999983035e-05,0.8191069798003509,call
100,10.430611662249053,10.450583572185565,0.019971909936511878,0.0019110808308990047,0.00010350000000003412,0.9981282868230056,call
200,10.4405912598598,10.450583572185565,0.009992312325763919,0.0009561487410481704,0.00020679199999995568,0.9990818294375066,call
400,10.445585841284654,10.450583572185565,0.004997730900910824,0.0004782250547435823,0.00042654200000002973,0.9995453487218252,call
800,10.44808431488256,10.450583572185565,0.0024992573030040433,0.0002391500231294132,0.0009298749999999689,0.9997737855760197,call
1600,10.4493338457875,10.450583572185565,0.0012497263980648654,0.00011958436478045465,0.0020860000000000323,0.9998871561032716,call
3200,10.449958684568506,10.450583572185565,0.0006248876170591444,5.9794518913019864e-05,0.005109582999999973,0.9999436243359938,call
6400,10.45027112228946,10.450583572185565,0.000312449896105349,2.989784196711661e-05,0.01721720799999993,0.9999718911702283,call
12800,10.450427345690457,10.450583572185565,0.00015622649510760311,1.4949069018825228e-05,0.058347666000000076,0.9999857134378967,call
