payoff,monotone_in_S_T,truth,n_paths,n_rep,mean_pair_correlation,mean_pair_se,mean_naive_path_se,naive_over_pair_se_ratio,coverage_pair_se,coverage_naive_se
european_put,True,5.568123772031048,4000,3000,-0.41445757526859334,0.1047359431141811,0.136858307295897,1.3066985719190665,0.951,0.989
butterfly,False,1.8371830780793867,4000,3000,0.4281854536687591,0.05468282721307172,0.04575710864306942,0.8367729134555676,0.9523333333333334,0.906
