basis,degree,price,std_error,deviation_from_bermudan,abs_deviation,design_condition_number,runtime_s,n_skipped_regressions
poly,1,5.992919508730107,0.01685425036533569,-0.08570222794865057,0.08570222794865057,25.37822684355855,0.4775281250000063,0
poly,2,6.064325548286125,0.016044373331445018,-0.014296188392632025,0.014296188392632025,530.2111963631625,0.4622219169999937,0
poly,3,6.088680108941546,0.016027660009040226,0.010058372262788495,0.010058372262788495,9773.020121651409,0.4944325839999948,0
poly,4,6.088942819715317,0.015978043079313945,0.010321083036560097,0.010321083036560097,172553.1077413989,0.542546791999996,0
poly,5,6.089333774997795,0.015962256921394292,0.010712038319037553,0.010712038319037553,2934410.4269646774,0.6092401669999958,0
poly,6,6.087204093629115,0.015938261498293003,0.008582356950357806,0.008582356950357806,49880987.20239005,0.6711574580000104,0
poly,8,6.093068705312714,0.0159313068178826,0.014446968633956558,0.014446968633956558,15044984941.487177,0.7484209159999864,0
poly,10,6.093533247651483,0.01595043871971979,0.014911510972726028,0.014911510972726028,4705349938092.358,0.8123464170000005,0
laguerre,1,6.0502130622316095,0.016399257029274028,-0.028408674447147675,0.028408674447147675,13.762724747847438,0.4843644999999981,0
laguerre,2,6.061544252002597,0.016051276232281222,-0.017077484676160104,0.017077484676160104,514.0025584138145,0.5058346250000056,0
laguerre,3,6.088622131309223,0.015995656595704823,0.01000039463046587,0.01000039463046587,32375.736068249214,0.5359536670000011,0
laguerre,4,6.088182064504936,0.015971942816951166,0.009560327826179105,0.009560327826179105,2657042.7953930018,0.5759389999999911,0
laguerre,5,6.088882707018504,0.015954666325572103,0.010260970339746933,0.010260970339746933,256762562.5530702,0.6232005840000028,0
laguerre,6,6.0890117727139765,0.01595131720863602,0.010390036035219374,0.010390036035219374,29033994035.433693,0.6600787499999967,0
laguerre,8,6.088212539346164,0.015947909794170573,0.009590802667406528,0.009590802667406528,581052825197121.2,0.7492102920000008,0
laguerre,10,6.0879423608201675,0.015931703310173895,0.009320624141410327,0.009320624141410327,3.168612470752539e+16,0.8192380420000092,0
chebyshev,1,5.992919508730107,0.01685425036533569,-0.08570222794865057,0.08570222794865057,14.134801719536345,0.4676387079999955,0
chebyshev,2,6.064325548286125,0.016044373331445018,-0.014296188392632025,0.014296188392632025,165.8987874926788,0.4865920000000017,0
chebyshev,3,6.088680108941546,0.016027660009040226,0.010058372262788495,0.010058372262788495,2011.8094691486685,0.5231037920000006,0
chebyshev,4,6.088942819715317,0.015978043079313945,0.010321083036560097,0.010321083036560097,23114.972946309223,0.5635332089999991,0
chebyshev,5,6.089333774997795,0.015962256921394292,0.010712038319037553,0.010712038319037553,269909.9664050269,0.6073953329999995,0
chebyshev,6,6.087204093629115,0.015938261498293003,0.008582356950357806,0.008582356950357806,3122533.4203891912,0.660641874999996,0
chebyshev,8,6.0923568675299755,0.015943618974461227,0.013735130851218358,0.013735130851218358,437564249.3954762,0.7651552499999923,0
chebyshev,10,6.0898551819145075,0.015928531956580873,0.011233445235750317,0.011233445235750317,62419679086.66406,0.848307792,0
