M,N,solver,price,runtime_s,mean_iterations,abs_dev_from_exact_lcp
100,100,psor,6.042859373923789,0.013150125000009893,17.19,2.035704937952687e-12
100,100,psor_lex,6.042859373922808,0.08693620799999735,14.55,1.0551559626037488e-12
100,100,brennan_schwartz,6.042859373921753,0.006040374999997766,0.0,0.0
200,200,psor,6.078568026761899,0.027720041999998557,16.975,2.6290081223123707e-13
200,200,psor_lex,6.078568026762354,0.31379729200000384,13.195,1.9184653865522705e-13
200,200,brennan_schwartz,6.078568026762162,0.023126208000007864,0.0,0.0
400,400,psor,6.087277934209977,0.06551762500001246,16.35,3.779199175824033e-12
400,400,psor_lex,6.087277934206091,1.226656917000014,12.86,1.0658141036401503e-13
400,400,brennan_schwartz,6.087277934206198,0.08862558399999898,0.0,0.0
