M,N,dS,S_star_0,S_star_0_raw,runtime_s,dev_from_finest,dev_raw_from_finest,cell_position
400,6400,1.0,80.88469096416966,81.0,1.0080485829999999,0.009526660630825745,0.12483569646116166,0.8846909641696641
800,6400,0.5,80.89040057807833,81.0,1.341540084,0.015236274539489614,0.12483569646116166,0.7808011561566559
1600,6400,0.25,80.9719775238441,80.75,2.0315115829999995,0.09681322030526474,0.12516430353883834,0.8879100953764123
3200,6400,0.125,80.87560458631039,80.875,3.183226750000001,0.000440282771549505,0.0001643035388383396,0.004836690483102757
6400,6400,0.0625,80.8752657017708,80.875,9.695078749999999,0.00010139823196197995,0.0001643035388383396,0.004251228332805113
12800,6400,0.03125,80.87516430353884,80.875,65.490552459,0.0,0.0001643035388383396,0.005257713242826867
