t,lattice_S_star,pde_S_star_interp,lattice_defined,abs_diff
0.0,,80.8756289264018,False,
0.0003333333333333333,,80.87716141260223,False,
0.0006666666666666666,,80.87872097918086,False,
0.001,,80.88030840568156,False,
0.0013333333333333333,,80.88192450688054,False,
0.0016666666666666666,,80.88357013527639,False,
0.002,,80.88524618386025,False,
0.002333333333333333,,80.88695358914816,False,
0.0026666666666666666,,80.888693334574,False,
0.003,,80.89046645430241,False,
0.003333333333333333,,80.89227403742314,False,
0.0036666666666666666,,80.89411723278556,False,
0.004,,80.8959972542632,False,
0.004333333333333333,,80.8979153870805,False,
0.004666666666666666,,80.89987299433032,False,
0.005,,80.90187152572857,False,
0.005333333333333333,,80.90391512061387,False,
0.005666666666666666,,80.9060030314704,False,
0.006,,80.90813704687258,False,
0.006333333333333333,,80.91031909332766,False,
0.006666666666666666,,80.91255124872724,False,
0.007,,80.91483576764165,False,
0.007333333333333333,,80.91717510351974,False,
0.007666666666666666,,80.91957193836362,False,
0.008,,80.9220292296728,False,
0.008333333333333333,,80.92455022776639,False,
0.008666666666666666,,80.9271385976484,False,
0.009,,80.92979835696538,False,
0.009333333333333332,,80.9325342272609,False,
0.009666666666666667,,80.93535126390603,False,
0.01,,80.93825590635032,False,
0.010333333333333333,,80.94126066037032,False,
0.010666666666666666,,80.94436987760639,False,
0.011,,80.94759279331008,False,
0.011333333333333332,,80.95094364771377,False,
0.011666666666666665,,80.95443715163803,False,
0.012,,80.95809528858334,False,
0.012333333333333333,,80.96194698324067,False,
0.012666666666666666,,80.96602625019945,False,
0.013,,80.97040947218996,False,
0.013333333333333332,,80.9751464921452,False,
0.013666666666666666,,80.98052924725125,False,
0.014,,80.9866805432241,False,
0.014333333333333333,,80.95838985100661,False,
0.014666666666666666,,80.95460197457766,False,
0.015,,80.95546554486796,False,
0.015333333333333332,,80.95634105832177,False,
0.015666666666666666,,80.95722808650088,False,
0.016,,80.9581268584481,False,
0.01633333333333333,,80.95903760943989,False,
0.016666666666666666,,80.95996058122498,False,
0.016999999999999998,,80.96089602224791,False,
0.017333333333333333,,80.96184418789838,False,
0.017666666666666667,,80.96280534076674,False,
0.018,,80.96377975091515,False,
0.018333333333333333,,80.96476769615339,False,
0.018666666666666665,,80.96576946234185,False,
0.019,,80.96678534370042,False,
0.019333333333333334,80.91377895740668,80.96781564312838,True,0.05403668572169806
0.019666666666666666,80.61886238031148,80.96886067256804,True,0.3499982922565579
0.02,80.91377895740668,80.96992075332302,True,0.05614179591634638
0.02033333333333333,80.61886238031148,80.97099714143121,True,0.3521347611197285
0.020666666666666667,80.91377895740668,80.97208929231321,True,0.05831033490653681
0.020999999999999998,80.61886238031148,80.97319755958408,True,0.3543351792725957
0.021333333333333333,80.91377895740668,80.97432230798515,True,0.06054335057847027
0.021666666666666667,80.61886238031148,80.97546391387802,True,0.3566015335665327
0.022,80.91377895740668,80.97662276574697,True,0.0628438083402898
0.022333333333333334,80.61886238031148,80.97779926474522,True,0.3589368844337315
0.022666666666666665,80.91377895740668,80.97899382525122,True,0.06521486784454567
0.023,80.61886238031148,80.98020687548554,True,0.36134449517405187
0.02333333333333333,80.91377895740668,80.98143885815026,True,0.0676599007435783
0.023666666666666666,80.61886238031148,80.98269023111993,True,0.36382785080844826
0.024,80.91377895740668,80.98396146815206,True,0.07018251074538284
0.024333333333333332,80.61886238031148,80.98525305970497,True,0.3663906793934899
0.024666666666666667,80.91377895740668,80.98656551372925,True,0.07278655632256914
0.024999999999999998,80.61886238031148,80.98789935658365,True,0.36903697627217014
0.025333333333333333,80.91377895740668,80.98925645755257,True,0.07547750014589383
0.025666666666666667,80.61886238031148,80.99063612446119,True,0.37177374414970643
0.026,80.91377895740668,80.9920389484792,True,0.07825999107252812
0.026333333333333334,80.61886238031148,80.99346554371269,True,0.37460316340120414
0.026666666666666665,80.91377895740668,80.99491654850819,True,0.08113759110150909
0.027,80.61886238031148,80.99639262688575,True,0.3775302465742669
0.02733333333333333,80.91377895740668,80.99789447005199,True,0.0841155126453117
0.027666666666666666,80.61886238031148,80.99942279808664,True,0.3805604177751576
0.028,80.91377895740668,81.00097836176454,True,0.087199404357861
0.028333333333333332,80.61886238031148,81.00256194453847,True,0.3836995642269869
0.028666666666666667,80.91377895740668,81.0041743647265,True,0.09039540731981788
0.028999999999999998,80.61886238031148,81.00581647789728,True,0.3869540975858001
0.029333333333333333,80.91377895740668,81.00748917952289,True,0.09371022211621494
0.029666666666666664,80.61886238031148,81.00919340785471,True,0.39033102754322613
0.03,80.91377895740668,81.01093014722927,True,0.09715118982259696
0.030333333333333334,80.61886238031148,81.01270246874218,True,0.39384008843069296
0.030666666666666665,80.91377895740668,81.01450955009444,True,0.10073059268776774
0.031,80.61886238031148,81.01635254688983,True,0.39749016657835057
0.03133333333333333,80.91377895740668,81.01823267914064,True,0.10445372173396095
0.03166666666666666,80.61886238031148,81.02015123693576,True,0.4012888566242765
0.032,80.91377895740668,81.02210958732633,True,0.10833062991964937
0.03233333333333333,80.61886238031148,81.02410918180206,True,0.405246801490577
0.03266666666666666,80.91377895740668,81.02615156500731,True,0.1123726076006335
0.033,80.61886238031148,81.0282383852657,True,0.4093760049542112
0.03333333333333333,80.91377895740668,81.03037140501898,True,0.11659244761230525
0.033666666666666664,80.61886238031148,81.03255251736203,True,0.41369013705055124
0.033999999999999996,80.91377895740668,81.03478375618278,True,0.12100479877609871
0.034333333333333334,80.61886238031148,81.03706732642318,True,0.41820494611170034
0.034666666666666665,80.91377895740668,81.03940560586145,True,0.12562664845476945
0.034999999999999996,80.61886238031148,81.04180120952577,True,0.4229388292142886
0.035333333333333335,80.91377895740668,81.04426068145382,True,0.13048172404714364
0.035666666666666666,80.61886238031148,81.04678385151713,True,0.42792147120565005
0.036,80.91377895740668,81.04937420490162,True,0.13559524749494756
0.036333333333333336,80.61886238031148,81.05203573763166,True,0.4331733573201717
0.03666666666666667,80.91377895740668,81.05477283315473,True,0.14099387574805178
0.037,80.61886238031148,81.05759057458323,True,0.4387281942717465
0.03733333333333333,80.91377895740668,81.0604947455044,True,0.14671578809772257
0.03766666666666667,80.61886238031148,81.06349193713882,True,0.44462955682733707
0.038,80.91377895740668,81.06659039293262,True,0.15281143552594756
0.03833333333333333,80.61886238031148,81.06979864380953,True,0.4509362634980505
0.03866666666666667,80.91377895740668,81.07312997646598,True,0.15935101905930082
0.039,80.61886238031148,81.07659469708035,True,0.45773231676886894
0.03933333333333333,80.91377895740668,81.08021833521683,True,0.16643937781014984
0.03966666666666666,80.61886238031148,81.0840095506589,True,0.4651471703474215
0.04,80.91377895740668,81.08802889400137,True,0.17424993659469123
0.04033333333333333,80.61886238031148,81.09228890541819,True,0.4734265251067029
0.04066666666666666,80.91377895740668,81.09693304423415,True,0.18315408682747147
0.041,80.61886238031148,81.10197685071877,True,0.48311447040728694
0.04133333333333333,80.91377895740668,81.1078238911988,True,0.19404493379212795
0.041666666666666664,80.61886238031148,81.10098074527045,True,0.4821183649589642
0.041999999999999996,80.91377895740668,81.07912843979345,True,0.16534948238677316
0.042333333333333334,80.61886238031148,81.08001200443134,True,0.46114962411985516
0.042666666666666665,80.91377895740668,81.08090740330549,True,0.16712844589881115
0.043,81.20977438608669,81.08181487584643,True,0.12795951024025953
0.043333333333333335,80.91377895740668,81.08273466810756,True,0.16895571070088522
0.043666666666666666,81.20977438608669,81.08366703300833,True,0.12610735307836762
0.044,80.91377895740668,81.08461223058258,True,0.17083327317590147
0.04433333333333333,81.20977438608669,81.08557052824798,True,0.12420385783870813
0.04466666666666667,80.91377895740668,81.08654220106803,True,0.17276324366135043
0.045,81.20977438608669,81.0875275320585,True,0.12224685402819091
0.04533333333333333,80.91377895740668,81.08852765067088,True,0.17474869326420617
0.04566666666666667,81.20977438608669,81.08954205284519,True,0.1202323332415034
0.046,80.91377895740668,81.09057104876592,True,0.17679209135924623
0.04633333333333333,81.20977438608669,81.09161495794919,True,0.11815942813750269
0.04666666666666666,80.91377895740668,81.0926741096146,True,0.17889515220792873
0.047,81.20977438608669,81.09374884307118,True,0.11602554301551038
0.04733333333333333,80.91377895740668,81.09483950814602,True,0.18106055073934613
0.04766666666666666,81.20977438608669,81.09594646561794,True,0.11382792046875068
0.048,80.91377895740668,81.09707008767721,True,0.18329113027053268
0.04833333333333333,81.20977438608669,81.09821075842186,True,0.11156362766483596
0.048666666666666664,80.91377895740668,81.09936887437449,True,0.1855899169678139
0.048999999999999995,81.20977438608669,81.1005448450269,True,0.10922954105978988
0.04933333333333333,80.91377895740668,81.10173909342777,True,0.18796013602108985
